name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,imputed_reach,gender
Fabio Maldonado,23.0,11.0,185.42,92.99,190.5,Orthodox,44.0,5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6,190.5,male
Edimilson Souza,15.0,5.0,182.88,65.77,187.96,Orthodox,39.0,4.65,0.44,2.91,0.58,0.0,0.0,0.5,0.0,187.96,male
Gasan Umalatov,17.0,4.0,180.34,77.11,180.34,Orthodox,41.0,2.23,0.39,4.1,0.59,0.75,0.17,0.9,0.0,180.34,male
Bruno Korea,7.0,3.0,167.64,61.23,165.1,Missing,32.0,2.12,0.34,3.96,0.42,0.0,0.0,0.25,0.0,165.1,male
Paddy Holohan,12.0,2.0,177.8,56.7,175.26,Orthodox,35.0,2.13,0.46,2.81,0.46,2.88,0.47,0.71,1.3,175.26,male
Jon Delos Reyes,8.0,5.0,167.64,56.7,170.18,Orthodox,36.0,2.99,0.38,4.14,0.51,3.2,0.83,0.55,1.9,170.18,male
Mickael Lebout,16.0,7.0,180.34,70.31,185.42,Orthodox,36.0,2.6,0.34,2.98,0.54,0.0,0.0,0.6,0.0,185.42,male
Aisling Daly,16.0,6.0,157.48,52.16,162.56,Orthodox,36.0,2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9,162.56,female
Ericka Almeida,7.0,3.0,167.64,52.16,182.88,Orthodox,35.0,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,182.88,female
Cathal Pendred,17.0,4.0,185.42,77.11,190.5,Orthodox,36.0,2.49,0.44,3.01,0.55,2.46,0.23,0.83,0.4,190.5,male
Bubba Bush,8.0,3.0,182.88,83.91,182.88,Orthodox,38.0,0.63,0.55,7.01,0.25,2.82,0.5,0.6,0.0,182.88,male
Shawn Jordan,19.0,8.0,182.88,117.93,190.5,Southpaw,39.0,2.87,0.5,3.3,0.47,1.97,0.38,0.76,0.1,190.5,male
Ruslan Magomedov,14.0,1.0,190.5,109.77,198.12,Orthodox,37.0,4.02,0.47,1.47,0.66,0.33,1.0,0.88,0.0,198.12,male
Francisco Trevino,13.0,3.0,175.26,70.31,177.8,Orthodox,42.0,2.65,0.42,2.42,0.64,0.97,0.22,0.41,0.0,177.8,male
Chris Cariaso,17.0,8.0,160.02,56.7,162.56,Southpaw,42.0,3.35,0.43,2.23,0.61,1.11,0.39,0.57,0.8,162.56,male
Chico Camus,17.0,7.0,167.64,56.7,167.64,Orthodox,39.0,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,167.64,male
George Roop,15.0,13.0,185.42,61.23,182.88,Orthodox,42.0,3.43,0.34,2.47,0.6,1.05,0.57,0.59,0.1,182.88,male
Katsunori Kikuno,24.0,8.0,172.72,65.77,167.64,Orthodox,42.0,2.64,0.4,2.47,0.61,1.88,0.75,0.76,0.8,167.64,male
Naoyuki Kotani,34.0,14.0,172.72,70.31,167.64,Southpaw,42.0,1.02,0.31,2.89,0.5,0.83,0.16,0.46,0.8,167.64,male
Roger Zapata,4.0,2.0,180.34,77.11,182.88,Southpaw,37.0,2.6,0.51,2.13,0.36,0.0,0.0,0.81,1.4,182.88,male
Clay Collard,14.0,7.0,180.34,65.77,185.42,Orthodox,31.0,4.22,0.32,5.0,0.5,2.81,0.39,0.71,0.5,185.42,male
Ron Stallings,14.0,8.0,187.96,77.11,190.5,Southpaw,41.0,3.22,0.6,3.26,0.51,0.0,0.0,0.71,0.0,190.5,male
Nazareno Malegarie,28.0,4.0,172.72,70.31,182.88,Missing,37.0,3.87,0.34,3.27,0.69,1.0,0.33,0.0,0.0,182.88,male
Sam Stout,20.0,12.0,175.26,70.31,177.8,Orthodox,39.0,4.17,0.28,4.08,0.57,0.63,0.38,0.77,0.1,177.8,male
Yves Jabouin,20.0,11.0,170.18,61.23,172.72,Orthodox,44.0,3.06,0.41,2.93,0.62,1.94,0.6,0.82,0.1,172.72,male
Elias Silverio,13.0,3.0,180.34,70.31,185.42,Orthodox,37.0,3.67,0.49,2.97,0.51,1.62,0.38,0.85,0.2,185.42,male
Tom Watson,17.0,9.0,185.42,83.91,185.42,Orthodox,41.0,4.01,0.44,4.41,0.5,0.15,0.07,0.43,0.0,185.42,male
Sirwan Kakai,12.0,5.0,165.1,61.23,182.88,Orthodox,34.0,3.57,0.41,4.63,0.62,4.0,0.42,0.83,0.0,182.88,male
Roman Salazar,10.0,6.0,170.18,61.23,182.88,Orthodox,36.0,1.95,0.39,2.89,0.57,1.77,0.18,0.5,0.0,182.88,male
Anthony Christodoulou,12.0,7.0,175.26,70.31,182.88,Orthodox,36.0,2.19,0.26,5.9,0.45,0.0,0.0,0.4,0.0,182.88,male
Antonio Rodrigo Nogueira,34.0,10.0,190.5,108.86,195.58,Orthodox,47.0,1.95,0.42,2.4,0.55,1.3,0.29,0.36,2.4,195.58,male
Soa Palelei,22.0,5.0,193.04,120.2,205.74,Orthodox,46.0,2.47,0.57,2.68,0.48,2.2,0.47,0.66,0.0,205.74,male
Hugo Viana,8.0,4.0,167.64,61.23,170.18,Orthodox,41.0,3.05,0.38,3.2,0.57,0.22,0.06,0.5,0.0,170.18,male
Ramsey Nijem,9.0,6.0,180.34,70.31,190.5,Orthodox,35.0,3.05,0.44,1.62,0.62,5.32,0.62,0.55,1.1,190.5,male
Jessamyn Duke,3.0,5.0,180.34,61.23,185.42,Orthodox,37.0,4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9,185.42,female
Ivan Jorge,27.0,7.0,175.26,70.31,185.42,Orthodox,43.0,3.41,0.49,2.91,0.59,1.56,0.16,0.75,0.6,185.42,male
Pawel Pawlak,12.0,3.0,182.88,77.11,185.42,Orthodox,35.0,1.67,0.33,2.22,0.53,1.0,0.37,0.7,0.0,185.42,male
Leonardo Mafra,13.0,4.0,177.8,70.31,177.8,Orthodox,34.0,4.55,0.48,4.38,0.43,2.12,0.83,0.69,0.4,177.8,male
Vaughan Lee,14.0,13.0,167.64,56.7,167.64,Orthodox,41.0,3.47,0.47,2.07,0.7,0.81,0.33,0.72,1.0,167.64,male
Hans Stringer,22.0,8.0,190.5,92.99,182.88,Orthodox,36.0,3.16,0.61,2.84,0.41,2.4,0.36,0.62,0.0,182.88,male
Paul Redmond,12.0,7.0,177.8,65.77,182.88,Orthodox,37.0,0.72,0.34,2.99,0.41,0.0,0.0,0.5,0.0,182.88,male
Marcus Brimage,7.0,7.0,162.56,61.23,180.34,Southpaw,38.0,3.97,0.35,3.64,0.56,0.56,1.0,0.8,0.0,180.34,male
Todd Duffee,9.0,3.0,190.5,117.93,198.12,Orthodox,38.0,5.93,0.37,2.87,0.56,0.72,0.25,0.9,0.0,198.12,male
Josh Thomson,22.0,9.0,177.8,70.31,180.34,Orthodox,45.0,2.59,0.47,2.12,0.64,1.92,0.39,0.54,1.3,180.34,male
Igor Araujo,25.0,9.0,185.42,77.11,195.58,Orthodox,43.0,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,195.58,male
Ildemar Alcantara,21.0,11.0,187.96,83.91,198.12,Orthodox,41.0,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,198.12,male
Andrew Craig,9.0,4.0,185.42,77.11,193.04,Orthodox,38.0,2.39,0.4,3.01,0.5,0.53,0.37,0.72,0.0,193.04,male
Dan Miller,14.0,8.0,185.42,83.91,187.96,Orthodox,42.0,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8,187.96,male
Darrell Montague,13.0,5.0,167.64,56.7,170.18,Southpaw,36.0,1.92,0.25,5.38,0.52,0.72,0.25,0.33,1.4,170.18,male
Mike Swick,15.0,6.0,185.42,77.11,195.58,Orthodox,44.0,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,195.58,male
Yosdenis Cedeno,10.0,6.0,172.72,70.31,175.26,Orthodox,39.0,1.64,0.29,1.6,0.67,0.0,0.0,0.31,0.3,175.26,male
Eddie Gordon,8.0,4.0,182.88,83.91,193.04,Orthodox,40.0,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0,193.04,male
Levan Makashvili,15.0,2.0,172.72,65.77,172.72,Orthodox,35.0,2.87,0.54,2.07,0.61,3.67,0.42,0.85,0.0,172.72,male
Joe Merritt,7.0,2.0,182.88,77.11,182.88,Orthodox,40.0,1.53,0.58,0.73,0.66,0.0,0.0,0.68,0.0,182.88,male
Lewis Gonzalez,11.0,3.0,177.8,77.11,182.88,Orthodox,36.0,1.4,0.37,1.87,0.41,2.0,0.33,0.62,0.0,182.88,male
Alan Omer,20.0,5.0,177.8,65.77,182.88,Orthodox,35.0,3.49,0.55,2.21,0.64,1.69,0.42,0.66,0.0,182.88,male
Niklas Backstrom,11.0,3.0,185.42,65.77,182.88,Orthodox,34.0,1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2,182.88,male
Antonio Dos Santos,6.0,4.0,177.8,83.91,182.88,Orthodox,35.0,5.4,0.51,3.94,0.43,0.0,0.0,1.0,0.0,182.88,male
Brian Ebersole,51.0,18.0,182.88,77.11,185.42,Southpaw,43.0,2.32,0.49,2.14,0.56,1.7,0.23,0.61,0.1,185.42,male
Justin Edwards,9.0,5.0,177.8,70.31,177.8,Orthodox,41.0,2.68,0.42,3.32,0.51,2.14,0.26,0.27,1.0,177.8,male
Ricardo Abreu,5.0,1.0,180.34,83.91,182.88,Orthodox,39.0,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,182.88,male
Leonardo Morales,6.0,2.0,172.72,61.23,182.88,Southpaw,31.0,2.05,0.47,2.05,0.58,0.0,0.0,0.62,0.0,182.88,male
Ryan Jimmo,19.0,5.0,185.42,92.99,185.42,Orthodox,42.0,3.12,0.66,2.77,0.46,0.45,0.28,0.87,0.0,185.42,male
Wendell Oliveira Marques,29.0,10.0,177.8,77.11,182.88,Orthodox,40.0,3.77,0.47,4.4,0.47,0.0,0.0,1.0,0.0,182.88,male
Luiz Dutra,13.0,6.0,180.34,77.11,182.88,Orthodox,41.0,3.92,0.5,4.8,0.41,0.0,0.0,1.0,0.0,182.88,male
Josh Sampo,11.0,5.0,162.56,56.7,162.56,Orthodox,39.0,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1,162.56,male
Constantinos Philippou,13.0,5.0,180.34,83.91,185.42,Orthodox,44.0,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,185.42,male
Mark Munoz,14.0,6.0,182.88,83.91,180.34,Orthodox,46.0,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6,180.34,male
Luke Barnatt,13.0,4.0,198.12,83.91,195.58,Orthodox,35.0,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,195.58,male
Zhang Lipeng,23.0,9.0,180.34,70.31,180.34,Southpaw,34.0,1.28,0.48,1.88,0.53,1.75,0.3,0.69,0.8,180.34,andy
Royston Wee,4.0,1.0,170.18,61.23,170.18,Orthodox,37.0,1.1,0.6,2.45,0.49,3.38,0.81,0.0,0.0,170.18,male
