name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,imputed_reach,gender
Justin Gaethje,25.0,4.0,180.34,70.31,177.8,Orthodox,35.0,7.35,0.6,7.5,0.53,0.13,0.25,0.75,0.0,177.8,male
Jan Blachowicz,29.0,10.0,187.96,92.99,198.12,Orthodox,41.0,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,198.12,male
Michael Chiesa,18.0,7.0,185.42,77.11,190.5,Southpaw,36.0,1.87,0.4,1.7,0.54,3.33,0.5,0.6,1.0,190.5,male
Vinicius Salvador,14.0,6.0,170.18,56.7,177.8,Southpaw,27.0,5.44,0.42,6.05,0.49,0.38,0.11,0.86,0.0,177.8,male
Jai Herbert,12.0,5.0,185.42,70.31,195.58,Orthodox,35.0,2.69,0.41,3.15,0.45,0.2,0.1,0.57,0.0,195.58,male
Lerone Murphy,13.0,0.0,175.26,65.77,185.42,Orthodox,32.0,3.65,0.5,2.4,0.56,1.29,0.46,0.46,0.9,185.42,female
Davey Grant,15.0,7.0,172.72,61.23,175.26,Orthodox,38.0,4.77,0.42,3.82,0.55,1.26,0.41,0.61,0.2,175.26,male
Daniel Marcos,15.0,0.0,170.18,61.23,175.26,Orthodox,31.0,5.75,0.5,4.0,0.66,0.33,0.5,0.89,0.0,175.26,male
Danny Roberts,18.0,8.0,185.42,77.11,187.96,Southpaw,36.0,3.18,0.39,3.73,0.5,0.24,0.09,0.57,0.2,187.96,male
Jonny Parsons,9.0,3.0,175.26,77.11,175.26,Orthodox,32.0,4.65,0.44,4.89,0.6,0.0,0.0,0.66,0.0,175.26,male
Joel Alvarez,20.0,3.0,190.5,70.31,195.58,Orthodox,31.0,3.65,0.46,3.37,0.5,0.0,0.0,0.11,1.3,195.58,male
Makhmud Muradov,26.0,8.0,187.96,83.91,190.5,Orthodox,34.0,4.21,0.43,2.57,0.61,3.03,0.66,0.77,0.2,190.5,male
Ketlen Vieira,14.0,3.0,172.72,61.23,172.72,Orthodox,32.0,3.04,0.41,3.92,0.51,1.51,0.44,0.92,0.6,172.72,female
Yanal Ashmouz,7.0,1.0,175.26,70.31,172.72,Orthodox,28.0,3.08,0.42,5.35,0.59,0.92,0.5,0.5,0.0,172.72,female
Shauna Bannon,5.0,1.0,165.1,52.16,165.1,Switch,30.0,3.6,0.37,3.73,0.37,0.0,0.0,0.33,0.0,165.1,female
Daniel Barez,16.0,6.0,167.64,56.7,167.64,Orthodox,35.0,3.8,0.53,5.32,0.55,4.07,0.31,0.91,1.6,167.64,male
Bassil Hafez,8.0,4.0,180.34,77.11,182.88,Orthodox,32.0,2.13,0.25,5.53,0.39,3.0,0.15,0.5,0.0,182.88,male
Ottman Azaitar,13.0,2.0,172.72,70.31,180.34,Switch,34.0,5.73,0.51,4.96,0.48,0.0,0.0,1.0,0.0,180.34,female
Albert Duraev,16.0,5.0,180.34,83.91,190.5,Orthodox,35.0,2.99,0.4,3.01,0.59,1.97,0.29,0.66,0.6,190.5,male
Norma Dumont,10.0,2.0,170.18,61.23,170.18,Orthodox,33.0,3.41,0.49,1.99,0.66,1.39,0.64,0.72,0.0,170.18,female
Nazim Sadykhov,9.0,1.0,177.8,70.31,175.26,Southpaw,29.0,4.94,0.48,5.72,0.48,1.71,0.62,0.75,0.3,175.26,male
Tucker Lutz,12.0,4.0,172.72,65.77,182.88,Orthodox,29.0,3.74,0.46,3.25,0.44,1.99,0.44,0.69,0.2,182.88,male
Melsik Baghdasaryan,8.0,2.0,175.26,65.77,177.8,Southpaw,32.0,5.28,0.61,3.06,0.58,0.0,0.0,0.72,0.0,177.8,female
Istela Nunes,6.0,5.0,162.56,52.16,167.64,Orthodox,31.0,5.02,0.45,4.84,0.6,0.0,0.0,0.5,0.0,167.64,female
Austin Lingo,9.0,3.0,177.8,65.77,177.8,Orthodox,29.0,3.86,0.37,4.86,0.57,0.43,0.66,0.75,0.0,177.8,male
Evan Elder,8.0,2.0,177.8,70.31,182.88,Switch,26.0,4.75,0.48,5.0,0.57,0.74,0.22,0.28,0.4,182.88,male
Genaro Valdez,10.0,3.0,175.26,70.31,182.88,Orthodox,32.0,4.08,0.3,7.16,0.48,1.54,0.44,0.36,0.4,182.88,male
Tyson Nam,21.0,14.0,170.18,56.7,172.72,Orthodox,40.0,3.87,0.33,4.97,0.65,0.0,0.0,0.87,0.0,172.72,male
Alexander Munoz,7.0,2.0,175.26,70.31,182.88,Switch,34.0,3.7,0.42,4.73,0.55,3.0,0.4,1.0,0.0,182.88,male
Carl Deaton,17.0,7.0,170.18,70.31,175.26,Orthodox,34.0,1.53,0.31,1.85,0.61,0.0,0.0,0.5,0.0,175.26,male
Ashlee Evans-Smith,6.0,6.0,172.72,61.23,170.18,Orthodox,36.0,4.03,0.34,4.59,0.53,0.95,0.22,0.5,0.0,170.18,female
Dan Hooker,23.0,12.0,182.88,70.31,190.5,Switch,34.0,5.08,0.48,4.76,0.51,0.79,0.34,0.8,0.4,190.5,male
Bo Nickal,5.0,0.0,185.42,83.91,193.04,Southpaw,28.0,2.76,0.62,0.55,0.75,11.04,0.5,0.0,13.8,193.04,male
Robbie Lawler,30.0,16.0,180.34,77.11,187.96,Southpaw,42.0,3.85,0.47,4.67,0.59,0.65,0.64,0.65,0.0,187.96,male
Niko Price,15.0,7.0,182.88,77.11,193.04,Orthodox,34.0,5.46,0.42,5.6,0.48,0.7,0.2,0.64,0.7,193.04,male
Jimmy Crute,12.0,4.0,187.96,92.99,187.96,Orthodox,28.0,3.68,0.54,3.04,0.44,4.84,0.57,0.6,2.0,187.96,male
Kamuela Kirk,12.0,6.0,177.8,70.31,190.5,Switch,29.0,3.22,0.5,5.87,0.4,1.5,0.26,0.47,1.2,190.5,female
Esteban Ribovics,12.0,1.0,177.8,70.31,175.26,Orthodox,27.0,6.16,0.52,3.4,0.52,0.95,0.66,0.6,0.5,175.26,male
Damir Ismagulov,24.0,3.0,177.8,70.31,187.96,Orthodox,33.0,3.36,0.42,2.44,0.61,1.0,0.28,0.7,0.0,187.96,male
Melissa Gatto,8.0,2.0,165.1,56.7,175.26,Orthodox,27.0,3.98,0.48,3.13,0.54,1.18,0.21,0.63,0.3,175.26,female
Ismael Bonfim,19.0,4.0,172.72,70.31,180.34,Orthodox,28.0,4.91,0.57,2.66,0.76,1.11,0.28,0.81,0.0,180.34,male
Nursulton Ruziboev,33.0,8.0,195.58,83.91,193.04,Orthodox,30.0,4.68,0.66,2.34,0.4,11.69,1.0,0.0,0.0,193.04,female
Kevin Lee,18.0,8.0,175.26,77.11,195.58,Orthodox,31.0,3.88,0.42,3.6,0.5,3.18,0.43,0.75,0.8,195.58,male
Rinat Fakhretdinov,21.0,1.0,182.88,77.11,187.96,Orthodox,32.0,4.05,0.56,2.16,0.52,4.25,0.46,1.0,0.3,187.96,male
Yana Santos,14.0,8.0,167.64,61.23,172.72,Orthodox,34.0,4.16,0.56,3.03,0.5,1.11,0.53,0.42,0.1,172.72,female
Guram Kutateladze,12.0,4.0,180.34,70.31,182.88,Orthodox,32.0,4.62,0.45,4.53,0.56,0.69,0.18,0.75,0.0,182.88,male
Ivana Petrovic,6.0,1.0,172.72,56.7,177.8,Southpaw,29.0,1.47,0.35,2.73,0.52,2.0,0.33,0.66,2.0,177.8,female
Alexandr Romanov,17.0,2.0,187.96,118.84,190.5,Southpaw,33.0,4.06,0.52,2.2,0.5,4.32,0.54,0.2,0.9,190.5,male
Blagoy Ivanov,19.0,6.0,180.34,113.4,185.42,Southpaw,37.0,3.25,0.4,4.2,0.53,0.69,0.4,0.61,0.1,185.42,male
David Onama,11.0,2.0,180.34,65.77,187.96,Orthodox,29.0,5.38,0.46,5.48,0.51,0.87,0.18,0.45,0.3,187.96,male
Gabriel Santos,10.0,2.0,175.26,65.77,177.8,Orthodox,27.0,4.46,0.55,6.03,0.44,4.34,0.46,0.66,1.2,177.8,male
Phil Rowe,10.0,4.0,190.5,77.11,203.2,Orthodox,33.0,3.94,0.52,4.32,0.54,0.85,0.4,0.59,0.4,203.2,male
Zhalgas Zhumagulov,14.0,9.0,162.56,56.7,167.64,Switch,35.0,5.24,0.43,5.86,0.52,1.3,0.19,0.75,0.2,167.64,female
Marvin Vettori,19.0,7.0,182.88,83.91,187.96,Southpaw,30.0,4.56,0.45,4.24,0.56,1.66,0.45,0.69,0.5,187.96,male
Jared Cannonier,17.0,6.0,180.34,83.91,195.58,Switch,40.0,4.68,0.52,4.13,0.59,0.44,0.42,0.63,0.0,195.58,male
Tereza Bleda,7.0,1.0,175.26,56.7,180.34,Orthodox,22.0,3.02,0.53,1.86,0.46,1.81,0.27,0.83,0.7,180.34,female
Gabriella Fernandes,8.0,3.0,167.64,56.7,167.64,Southpaw,30.0,1.63,0.47,2.7,0.47,0.0,0.0,0.61,0.0,167.64,female
Amanda Nunes,23.0,5.0,172.72,61.23,175.26,Orthodox,35.0,4.55,0.51,2.62,0.57,2.73,0.54,0.82,0.7,175.26,female
Charles Oliveira,34.0,9.0,177.8,70.31,187.96,Orthodox,34.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7,187.96,male
Adam Fugitt,9.0,4.0,185.42,77.11,195.58,Southpaw,35.0,4.3,0.54,5.13,0.48,3.43,0.33,0.5,0.0,195.58,male
Nate Landwehr,17.0,5.0,175.26,65.77,182.88,Orthodox,35.0,6.14,0.46,5.58,0.55,1.07,0.41,0.86,1.1,182.88,female
David Dvorak,20.0,6.0,165.1,56.7,172.72,Orthodox,31.0,3.48,0.43,3.29,0.59,0.58,0.3,0.7,0.2,172.72,male
Maria Oliveira,13.0,7.0,167.64,52.16,175.26,Orthodox,27.0,5.03,0.38,5.76,0.44,0.95,0.44,0.47,0.0,175.26,female
Kai Kara-France,24.0,11.0,162.56,56.7,175.26,Orthodox,31.0,4.57,0.39,3.24,0.65,0.63,0.33,0.88,0.0,175.26,male
Amir Albazi,17.0,1.0,165.1,56.7,172.72,Orthodox,30.0,2.8,0.39,3.07,0.63,1.71,0.33,0.4,0.7,172.72,male
Daniel Pineda,28.0,15.0,170.18,65.77,175.26,Orthodox,38.0,3.09,0.49,3.18,0.46,1.71,0.25,0.48,1.7,175.26,male
Jesse Butler,12.0,5.0,177.8,65.77,185.42,Orthodox,31.0,2.61,0.14,7.83,0.4,0.0,0.0,0.0,0.0,185.42,male
Ketlen Souza,13.0,4.0,160.02,52.16,160.02,Orthodox,29.0,0.0,0.0,1.71,0.7,0.0,0.0,0.0,0.0,160.02,female
Abubakar Nurmagomedov,17.0,4.0,180.34,77.11,182.88,Orthodox,34.0,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,182.88,female
Elizeu Zaleski dos Santos,24.0,7.0,180.34,77.11,185.42,Orthodox,37.0,4.52,0.42,3.33,0.57,0.43,0.13,0.68,0.4,185.42,female
Daniel Santos,12.0,2.0,170.18,61.23,170.18,Orthodox,29.0,4.26,0.37,5.12,0.5,1.9,0.5,0.73,0.0,170.18,male
Luan Lacerda,12.0,3.0,170.18,61.23,180.34,Orthodox,31.0,4.52,0.44,7.07,0.47,1.26,0.25,0.75,0.6,180.34,male
Maxim Grishin,32.0,10.0,190.5,92.99,198.12,Orthodox,39.0,3.26,0.52,2.27,0.58,0.21,0.16,0.66,0.0,198.12,male
Diego Ferreira,18.0,5.0,175.26,70.31,187.96,Orthodox,39.0,4.66,0.37,3.42,0.56,0.71,0.22,0.63,0.7,187.96,male
Maheshate,9.0,3.0,182.88,70.31,180.34,Orthodox,24.0,2.91,0.26,4.86,0.49,0.0,0.0,0.45,0.0,180.34,female
Viacheslav Borshchev,7.0,3.0,180.34,70.31,175.26,Orthodox,32.0,5.82,0.58,4.07,0.56,0.0,0.0,0.36,0.0,175.26,male
Orion Cosce,8.0,2.0,180.34,77.11,180.34,Switch,29.0,2.77,0.53,4.02,0.44,1.92,0.4,0.61,0.0,180.34,male
Ilir Latifi,17.0,9.0,177.8,104.33,185.42,Orthodox,41.0,2.05,0.45,2.93,0.56,2.11,0.35,1.0,0.3,185.42,male
Nick Fiore,6.0,2.0,177.8,70.31,182.88,Orthodox,26.0,2.83,0.46,7.93,0.42,2.5,0.45,0.71,0.0,182.88,male
Victoria Leonardo,9.0,6.0,165.1,56.7,162.56,Orthodox,34.0,3.27,0.39,4.7,0.46,1.6,0.27,0.71,0.0,162.56,female
Takashi Sato,16.0,7.0,177.8,77.11,185.42,Southpaw,33.0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0,185.42,male
Daniel Rodriguez,17.0,4.0,185.42,77.11,187.96,Southpaw,37.0,7.3,0.5,5.28,0.56,0.62,0.5,0.63,0.1,187.96,male
Matt Brown,26.0,19.0,182.88,77.11,190.5,Orthodox,43.0,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3,190.5,male
Court McGee,22.0,12.0,180.34,77.11,190.5,Orthodox,39.0,4.63,0.37,3.68,0.6,1.89,0.25,0.69,0.4,190.5,female
Chase Sherman,16.0,12.0,193.04,113.4,198.12,Orthodox,34.0,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0,198.12,male
Cody Stamann,21.0,6.0,167.64,61.23,162.56,Orthodox,34.0,4.39,0.47,3.63,0.62,2.34,0.39,0.76,0.0,162.56,male
Douglas Silva de Andrade,29.0,5.0,170.18,61.23,172.72,Orthodox,38.0,3.66,0.38,3.99,0.58,0.61,0.46,0.7,0.2,172.72,male
Ji Yeon Kim,9.0,7.0,170.18,56.7,182.88,Orthodox,34.0,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1,182.88,andy
Mandy Bohm,8.0,2.0,170.18,56.7,180.34,Orthodox,34.0,2.51,0.45,3.24,0.6,0.72,0.18,0.75,0.7,180.34,female
Gabe Green,11.0,5.0,177.8,70.31,185.42,Switch,30.0,6.28,0.45,6.95,0.47,0.83,0.5,0.53,0.3,185.42,male
Jessica-Rose Clark,11.0,9.0,165.1,61.23,162.56,Orthodox,36.0,3.73,0.51,3.51,0.58,1.66,0.42,0.62,0.3,162.56,female
Belal Muhammad,23.0,3.0,180.34,77.11,182.88,Orthodox,35.0,4.55,0.43,3.64,0.57,1.98,0.35,0.93,0.2,182.88,male
Yan Xiaonan,17.0,3.0,165.1,52.16,160.02,Orthodox,34.0,5.55,0.44,3.56,0.61,0.86,0.66,0.7,0.0,160.02,male
Kron Gracie,5.0,2.0,175.26,65.77,177.8,Southpaw,35.0,3.74,0.44,6.82,0.53,0.47,0.25,0.0,0.5,177.8,male
Khaos Williams,14.0,3.0,182.88,77.11,195.58,Orthodox,29.0,5.77,0.39,5.33,0.42,0.0,0.0,0.8,0.0,195.58,female
Virna Jandiroba,19.0,3.0,160.02,52.16,162.56,Orthodox,35.0,2.34,0.4,3.03,0.56,2.42,0.39,0.73,1.0,162.56,female
Braxton Smith,5.0,2.0,180.34,116.57,182.88,Orthodox,34.0,6.46,0.48,11.54,0.32,0.0,0.0,1.0,0.0,182.88,male
Joseph Holmes,8.0,4.0,193.04,83.91,203.2,Orthodox,28.0,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8,203.2,male
Trey Waters,8.0,1.0,195.58,77.11,195.58,Orthodox,29.0,6.45,0.45,3.95,0.61,0.78,0.5,0.77,0.8,195.58,male
Journey Newson,10.0,5.0,165.1,61.23,170.18,Orthodox,35.0,2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3,170.18,female
Hailey Cowan,7.0,3.0,172.72,61.23,170.18,Southpaw,32.0,2.97,0.42,3.17,0.34,1.5,0.33,0.8,0.0,170.18,female
Brogan Walker,8.0,4.0,162.56,56.7,170.18,Switch,35.0,2.04,0.3,3.7,0.47,0.0,0.0,0.11,0.0,170.18,female
Rani Yahya,28.0,11.0,167.64,61.23,170.18,Orthodox,39.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,170.18,female
Montel Jackson,13.0,2.0,177.8,61.23,190.5,Southpaw,31.0,3.36,0.53,1.41,0.64,3.42,0.71,0.69,0.3,190.5,female
Brady Hiestand,8.0,2.0,172.72,61.23,180.34,Orthodox,24.0,2.93,0.52,3.65,0.53,4.06,0.46,0.42,0.3,180.34,male
Batgerel Danaa,12.0,5.0,170.18,61.23,177.8,Orthodox,34.0,5.38,0.36,4.21,0.47,0.52,0.5,0.62,0.0,177.8,female
Azamat Murzakanov,13.0,0.0,177.8,92.99,180.34,Southpaw,34.0,4.57,0.57,3.12,0.57,0.75,0.16,0.83,0.0,180.34,male
Rafa Garcia,16.0,3.0,170.18,70.31,177.8,Orthodox,29.0,4.19,0.42,4.21,0.61,3.61,0.44,0.79,0.3,177.8,female
Matheus Nicolau,19.0,4.0,167.64,56.7,167.64,Orthodox,31.0,3.66,0.53,3.14,0.66,1.48,0.45,0.93,0.9,167.64,female
Zak Cummings,25.0,7.0,182.88,92.99,190.5,Southpaw,39.0,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6,190.5,male
Ed Herman,27.0,16.0,185.42,92.99,195.58,Orthodox,43.0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0,195.58,male
Piera Rodriguez,9.0,1.0,160.02,52.16,160.02,Orthodox,31.0,3.46,0.46,2.98,0.57,3.31,0.41,0.66,0.0,160.02,female
Lando Vannata,12.0,7.0,175.26,70.31,180.34,Orthodox,32.0,4.52,0.45,4.76,0.55,1.09,0.37,0.69,0.3,180.34,male
Aaron Phillips,12.0,5.0,175.26,61.23,180.34,Southpaw,34.0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,180.34,male
Jorge Masvidal,35.0,17.0,180.34,77.11,187.96,Orthodox,39.0,4.05,0.47,3.05,0.64,1.38,0.59,0.72,0.3,187.96,male
Santiago Ponzinibbio,30.0,7.0,182.88,77.11,185.42,Orthodox,37.0,4.9,0.41,4.67,0.61,0.48,0.3,0.6,0.0,185.42,male
Cynthia Calvillo,9.0,6.0,162.56,52.16,162.56,Orthodox,36.0,4.41,0.38,4.12,0.64,1.8,0.44,0.77,0.8,162.56,female
Shayilan Nuerdanbieke,39.0,11.0,172.72,65.77,175.26,Orthodox,29.0,2.28,0.45,2.94,0.5,2.9,0.33,0.4,0.0,175.26,female
Holly Holm,15.0,6.0,172.72,61.23,175.26,Southpaw,42.0,3.21,0.4,2.79,0.56,0.9,0.3,0.78,0.1,175.26,female
Steven Peterson,19.0,11.0,177.8,65.77,177.8,Orthodox,33.0,4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7,177.8,male
Gunnar Nelson,19.0,5.0,180.34,77.11,182.88,Switch,35.0,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0,182.88,male
Jack Shore,17.0,1.0,172.72,65.77,180.34,Orthodox,29.0,3.84,0.58,2.2,0.57,3.42,0.4,0.79,0.7,180.34,male
Makwan Amirkhani,17.0,9.0,177.8,65.77,182.88,Southpaw,35.0,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1,182.88,female
Omar Morales,11.0,4.0,180.34,70.31,185.42,Orthodox,38.0,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0,185.42,male
Dusko Todorovic,12.0,4.0,185.42,83.91,187.96,Orthodox,29.0,5.54,0.57,4.55,0.46,0.96,0.12,0.45,0.0,187.96,female
Nikita Krylov,30.0,9.0,190.5,92.99,195.58,Orthodox,32.0,4.38,0.55,2.47,0.44,2.29,0.38,0.53,1.4,195.58,male
Guido Cannetti,10.0,8.0,167.64,61.23,172.72,Southpaw,44.0,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4,172.72,male
Raphael Assuncao,28.0,10.0,165.1,61.23,167.64,Orthodox,41.0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,167.64,male
Victor Henry,23.0,6.0,170.18,61.23,172.72,Switch,36.0,8.26,0.54,5.95,0.47,0.0,0.0,0.78,0.6,172.72,male
Tony Gravely,23.0,9.0,165.1,61.23,175.26,Orthodox,32.0,3.82,0.48,4.47,0.44,5.4,0.41,0.52,0.3,175.26,male
Bruno Silva,13.0,5.0,162.56,56.7,165.1,Orthodox,34.0,3.05,0.46,3.09,0.59,2.57,0.3,0.64,0.3,165.1,male
Jon Jones,27.0,1.0,193.04,112.49,213.36,Orthodox,36.0,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5,213.36,male
Valentina Shevchenko,23.0,4.0,165.1,56.7,167.64,Southpaw,36.0,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4,167.64,female
Alexa Grasso,16.0,3.0,165.1,56.7,167.64,Orthodox,30.0,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,167.64,female
Trevin Jones,13.0,10.0,170.18,61.23,177.8,Southpaw,33.0,2.13,0.37,4.29,0.39,0.62,0.15,0.6,0.2,177.8,female
Derek Brunson,23.0,9.0,185.42,83.91,195.58,Southpaw,40.0,3.51,0.47,3.05,0.51,3.14,0.33,0.85,0.6,195.58,male
Julian Marquez,9.0,4.0,187.96,83.91,182.88,Orthodox,33.0,4.86,0.44,4.99,0.51,0.0,0.0,0.53,2.6,182.88,male
Mana Martinez,10.0,4.0,177.8,61.23,177.8,Orthodox,28.0,4.33,0.48,4.94,0.5,0.72,0.42,0.25,0.5,177.8,female
Jessica Penne,14.0,8.0,165.1,52.16,170.18,Orthodox,41.0,2.52,0.31,4.75,0.46,1.32,0.21,0.36,0.6,170.18,female
Augusto Sakai,16.0,5.0,190.5,120.2,195.58,Orthodox,32.0,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0,195.58,male
Erick Gonzalez,14.0,8.0,180.34,70.31,190.5,Orthodox,32.0,2.4,0.36,8.08,0.4,6.0,0.55,0.5,0.0,190.5,male
Victor Martinez,13.0,5.0,172.72,70.31,177.8,Orthodox,32.0,8.65,0.5,7.45,0.54,0.86,0.5,0.8,0.0,177.8,male
Rafael Alves,20.0,12.0,172.72,70.31,172.72,Orthodox,33.0,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,172.72,male
Nurullo Aliev,9.0,0.0,177.8,70.31,182.88,Orthodox,23.0,2.5,0.51,0.46,0.59,3.06,0.44,0.0,0.0,182.88,female
Jordan Wright,12.0,5.0,187.96,92.99,195.58,Orthodox,32.0,4.1,0.56,6.03,0.31,2.09,0.45,1.0,0.4,195.58,male
William Knight,11.0,5.0,177.8,92.99,185.42,Orthodox,35.0,2.62,0.56,3.3,0.35,1.78,0.4,0.48,0.4,185.42,male
Lina Lansberg,10.0,8.0,170.18,61.23,165.1,Orthodox,42.0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1,165.1,female
Khusein Askhabov,23.0,1.0,172.72,65.77,175.26,Orthodox,29.0,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0,175.26,female
Clayton Carpenter,7.0,0.0,167.64,56.7,167.64,Orthodox,27.0,4.5,0.51,2.85,0.6,2.47,0.5,0.0,2.5,167.64,male
Juancamilo Ronderos,4.0,2.0,160.02,56.7,162.56,Southpaw,29.0,2.18,0.3,2.18,0.63,2.72,0.33,0.0,0.0,162.56,female
Don Shainis,12.0,5.0,167.64,65.77,170.18,Orthodox,33.0,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9,170.18,male
Zubaira Tukhugov,20.0,6.0,172.72,70.31,172.72,Orthodox,33.0,3.17,0.39,3.07,0.63,2.13,0.39,1.0,0.0,172.72,female
Yizha,25.0,4.0,170.18,65.77,180.34,Orthodox,27.0,2.82,0.44,2.2,0.54,4.55,0.32,0.59,1.4,180.34,female
SeungGuk Choi,7.0,3.0,167.64,56.7,162.56,Orthodox,27.0,2.69,0.42,2.69,0.65,1.02,0.27,0.74,0.0,162.56,female
Glover Teixeira,33.0,9.0,187.96,92.99,193.04,Orthodox,44.0,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9,193.04,female
Jamahal Hill,12.0,1.0,193.04,92.99,200.66,Southpaw,32.0,7.31,0.54,3.35,0.47,0.0,0.0,0.73,0.0,200.66,female
Lauren Murphy,16.0,6.0,165.1,56.7,170.18,Orthodox,40.0,4.05,0.39,5.25,0.55,1.03,0.25,0.69,0.1,170.18,female
Mauricio Rua,27.0,14.0,185.42,92.99,193.04,Orthodox,42.0,3.57,0.5,2.79,0.54,2.01,0.48,0.49,0.7,193.04,male
Mounir Lazzez,11.0,3.0,185.42,77.11,193.04,Orthodox,36.0,7.49,0.55,5.42,0.53,1.8,0.57,0.71,0.0,193.04,male
Shamil Abdurakhimov,20.0,8.0,190.5,106.59,193.04,Orthodox,42.0,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,193.04,male
Saimon Oliveira,18.0,5.0,162.56,61.23,182.88,Orthodox,32.0,2.82,0.41,3.91,0.48,1.21,0.25,0.35,1.6,182.88,female
Allan Nascimento,20.0,6.0,172.72,56.7,175.26,Orthodox,32.0,3.21,0.61,2.28,0.5,1.55,0.26,0.16,0.9,175.26,male
Dan Argueta,9.0,1.0,170.18,61.23,172.72,Southpaw,30.0,2.35,0.47,1.9,0.52,2.54,0.5,0.6,1.9,172.72,male
Cheyanne Vlismas,7.0,3.0,160.02,52.16,160.02,Switch,28.0,4.93,0.5,2.57,0.64,0.25,0.33,0.66,0.2,160.02,female
Saidyokub Kakhramonov,10.0,3.0,172.72,61.23,175.26,Orthodox,28.0,2.05,0.51,0.88,0.58,6.63,0.48,0.83,1.9,175.26,female
Sergey Morozov,19.0,5.0,167.64,61.23,170.18,Orthodox,34.0,3.01,0.43,2.97,0.61,3.63,0.31,0.68,0.0,170.18,male
Darren Till,18.0,5.0,182.88,83.91,187.96,Southpaw,31.0,2.3,0.46,3.31,0.56,0.55,0.46,0.69,0.0,187.96,male
Jay Perrin,10.0,7.0,170.18,61.23,170.18,Switch,30.0,3.71,0.46,3.9,0.44,2.83,0.52,0.58,0.0,170.18,male
Dalcha Lungiambula,11.0,6.0,172.72,83.91,193.04,Orthodox,36.0,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0.0,193.04,female
Steven Koslow,6.0,1.0,170.18,56.7,175.26,Switch,27.0,0.77,0.37,3.73,0.4,5.28,0.55,0.0,1.1,175.26,male
Kyle Daukaus,11.0,4.0,190.5,83.91,193.04,Southpaw,31.0,3.22,0.52,2.94,0.42,2.12,0.25,0.82,1.9,193.04,female
Scott Holtzman,14.0,6.0,175.26,70.31,175.26,Orthodox,40.0,4.32,0.47,3.66,0.55,1.88,0.56,0.67,0.2,175.26,male
Marcelo Rojo,16.0,10.0,172.72,65.77,180.34,Orthodox,35.0,4.92,0.39,6.42,0.55,0.46,0.5,0.66,0.0,180.34,male
Vince Morales,11.0,7.0,175.26,61.23,177.8,Orthodox,33.0,4.17,0.37,4.24,0.53,0.14,0.25,0.64,0.0,177.8,male
Ricky Turcios,13.0,3.0,175.26,61.23,180.34,Orthodox,30.0,5.08,0.37,3.7,0.55,1.0,0.25,0.45,0.2,180.34,male
Kevin Natividad,9.0,4.0,167.64,61.23,177.8,Orthodox,30.0,2.68,0.34,4.29,0.47,3.66,0.5,0.83,0.0,177.8,male
Carla Esparza,20.0,7.0,154.94,52.16,160.02,Orthodox,36.0,2.16,0.4,2.69,0.55,3.22,0.35,0.47,0.3,160.02,female
Michael Chandler,23.0,8.0,172.72,70.31,180.34,Orthodox,37.0,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9,180.34,male
Frankie Edgar,23.0,11.0,167.64,61.23,172.72,Orthodox,42.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,172.72,andy
Brad Riddell,10.0,4.0,170.18,70.31,180.34,Orthodox,32.0,4.71,0.53,3.53,0.53,1.77,0.36,0.63,0.0,180.34,male
